fecha,id_producto,id_cliente,id_vendedor,cantidad,descuento,precio_venta
2023-11-24,7,9,1,6,0.08,
2023-02-27,4,1,4,4,0.01,4200.0
2023-01-13,8,1,3,4,0.07,2200.0
2023-05-21,5,4,4,4,0.11,5500.0
2023-05-06,7,9,4,2,0.05,1800.0
2023-04-25,10,6,4,4,0.1,3800.0
2023-03-13,3,3,4,1,0.12,980.0
2023-02-22,7,1,5,6,0.14,850.0
2023-12-13,8,4,5,1,0.04,12500.0
2023-10-07,5,9,2,6,0.06,4200.0
2023-02-14,4,3,1,1,0.02,980.0
2023-10-30,8,9,4,6,0.15,4200.0
2023-08-05,8,7,2,8,0.14,350.0
2023-01-17,3,4,1,2,0.08,5500.0
2023-01-16,6,3,3,2,0.13,3800.0
2023-02-17,5,10,5,4,0.08,850.0
2023-04-22,2,5,1,3,0.09,980.0
2023-04-30,8,5,3,4,0.01,4200.0
2023-09-16,6,3,1,7,0.11,2200.0
2023-11-05,2,9,5,1,0.02,350.0
2023-01-14,5,4,5,6,0.12,2200.0
2023-10-15,1,5,2,3,0.12,850.0
2023-04-12,10,4,4,7,0.11,980.0
2023-11-29,6,5,1,2,0.01,350.0
2023-12-26,9,7,1,2,0.05,980.0
2023-10-07,1,9,3,4,0.04,3800.0
2023-08-03,10,7,5,1,0.05,650.0
2023-04-23,3,5,1,3,0.01,350.0
2023-08-18,7,10,5,9,0.14,2200.0
2023-10-29,4,10,1,7,0.08,850.0
2023-05-23,9,7,2,7,0.05,5500.0
2023-01-04,3,10,4,4,0.06,3800.0
2023-03-23,5,5,1,2,0.07,650.0
2023-12-24,3,3,5,4,0.09,5500.0
2023-08-05,7,7,2,6,0.08,12500.0
2023-06-24,5,2,1,3,0.14,3800.0
2023-05-23,9,9,3,1,0.07,850.0
2023-03-21,7,10,4,8,0.15,4200.0
2023-04-21,2,10,1,5,0.13,350.0
2023-06-22,4,1,2,5,0.03,980.0
2023-02-22,9,6,3,4,0.14,850.0
2023-02-17,2,7,2,6,0.02,350.0
2023-07-14,10,8,2,3,0.12,5500.0
2023-02-19,9,10,3,9,0.06,980.0
2023-07-03,10,9,2,5,0.13,1800.0
2023-06-26,5,2,3,3,0.13,2200.0
2023-11-06,2,10,1,1,0.12,12500.0
2023-05-16,4,2,3,6,0.12,3800.0
2023-01-23,7,5,3,2,0.05,850.0
2023-08-24,8,5,4,3,0.01,12500.0
2023-10-02,3,6,3,1,0.06,
2023-03-05,1,3,3,9,0.03,4200.0
2023-07-13,4,8,1,8,0.1,350.0
2023-02-10,2,1,4,2,0.05,350.0
2023-10-10,8,6,5,8,0.15,850.0
2023-05-31,4,4,1,9,0.1,650.0
2023-11-18,2,1,1,1,0.12,650.0
2023-11-13,6,7,5,5,0.02,1800.0
2023-07-05,6,9,3,8,0.13,2200.0
2023-10-23,10,4,2,2,0.14,980.0
2023-04-09,4,4,4,4,0.07,4200.0
2023-12-27,6,6,2,7,0.09,12500.0
2023-02-05,2,3,5,3,0.11,650.0
2023-01-24,10,6,1,5,0.03,1800.0
2023-12-05,2,7,1,8,0.08,1800.0
2023-04-27,10,10,4,3,0.06,850.0
2023-05-29,4,10,1,4,0.02,4200.0
2023-02-10,8,3,1,9,0.06,5500.0
2023-04-30,7,7,4,7,0.01,980.0
2023-02-21,9,3,4,1,0.0,2200.0
2023-07-14,8,2,5,4,0.02,3800.0
2023-05-23,5,10,1,4,0.14,850.0
2023-08-21,2,4,1,9,0.08,980.0
2023-11-22,5,8,5,6,0.14,3800.0
2023-07-06,8,9,3,9,0.06,3800.0
2023-03-25,10,7,3,6,0.05,4200.0
2023-07-09,9,1,3,6,0.08,4200.0
2023-07-01,9,3,5,5,0.07,12500.0
2023-04-18,1,9,1,5,0.02,1800.0
2023-12-10,9,1,5,2,0.1,980.0
2023-05-17,7,9,5,8,0.03,850.0
2023-12-26,9,8,3,8,0.09,350.0
2023-12-16,8,1,2,1,0.1,850.0
2023-11-28,1,6,1,8,0.02,12500.0
2023-02-06,8,5,3,5,0.01,2200.0
2023-11-08,8,6,2,2,0.12,1800.0
2023-11-22,3,10,2,2,0.07,350.0
2023-03-29,1,5,4,6,0.01,650.0
2023-10-01,8,6,1,9,0.15,2200.0
2023-05-06,3,5,2,1,0.01,4200.0
2023-03-25,3,5,3,6,0.1,3800.0
2023-08-25,1,4,4,9,0.15,650.0
2023-07-14,5,3,1,8,0.04,850.0
2023-05-19,10,3,5,6,0.02,850.0
2023-11-24,7,4,3,3,0.02,4200.0
2023-12-19,10,9,2,8,0.05,12500.0
2023-10-13,9,2,2,9,0.02,980.0
2023-04-23,7,9,3,1,0.1,650.0
2023-12-17,9,1,2,9,0.01,650.0
2023-06-16,8,1,4,6,0.08,5500.0
2023-01-29,2,5,1,6,0.15,
2023-04-28,1,6,4,4,0.12,2200.0
2023-01-17,7,6,2,1,0.09,1800.0
2023-06-11,7,3,5,8,0.05,2200.0
2023-07-25,8,7,1,2,0.09,980.0
2023-05-18,5,9,1,1,0.08,850.0
2023-02-03,3,10,3,2,0.06,850.0
2023-04-19,8,8,3,1,0.02,850.0
2023-10-18,6,6,5,1,0.13,5500.0
2023-06-11,3,8,1,9,0.07,850.0
2023-04-19,1,5,5,1,0.03,980.0
2023-12-02,3,8,3,4,0.06,4200.0
2023-09-13,5,10,3,6,0.06,1800.0
2023-07-22,3,4,1,7,0.12,980.0
2023-11-26,1,10,4,2,0.11,1800.0
2023-08-23,5,8,2,6,0.12,980.0
2023-03-15,10,10,3,7,0.0,850.0
2023-05-16,7,2,3,2,0.06,4200.0
2023-03-13,7,5,4,2,0.07,650.0
2023-05-07,9,9,4,7,0.0,2200.0
2023-10-15,10,4,5,1,0.04,3800.0
2023-10-03,10,6,5,8,0.11,4200.0
2023-05-15,3,1,2,3,0.02,650.0
2023-10-27,7,9,2,6,0.08,12500.0
2023-08-08,1,1,1,9,0.03,980.0
2023-10-26,4,5,5,6,0.0,12500.0
2023-07-24,4,4,3,9,0.04,650.0
2023-07-05,5,3,5,7,0.15,4200.0
2023-04-23,7,6,3,9,0.12,980.0
2023-03-12,7,2,4,2,0.14,3800.0
2023-09-18,4,3,5,8,0.07,850.0
2023-09-10,7,5,4,8,0.02,980.0
2023-02-16,3,9,2,2,0.08,980.0
2023-01-25,6,2,2,4,0.07,4200.0
2023-02-26,2,10,1,7,0.13,4200.0
2023-03-20,10,8,5,4,0.01,650.0
2023-11-18,9,2,4,4,0.07,350.0
2023-03-23,5,5,3,6,0.02,980.0
2023-12-15,6,7,2,6,0.05,2200.0
2023-08-05,4,8,2,3,0.11,980.0
2023-11-02,10,1,3,9,0.07,650.0
2023-02-02,7,6,4,2,0.06,1800.0
2023-07-17,9,1,4,6,0.06,12500.0
2023-07-15,7,2,5,7,0.07,850.0
2023-11-02,1,1,5,9,0.12,350.0
2023-08-28,1,5,1,3,0.13,3800.0
2023-09-28,9,10,2,3,0.14,3800.0
2023-05-09,9,9,5,7,0.12,3800.0
2023-10-11,4,6,4,4,0.05,4200.0
2023-01-06,9,1,3,8,0.1,3800.0
2023-12-15,3,1,4,7,0.07,
2023-02-28,7,2,2,5,0.04,850.0
2023-12-16,6,9,4,7,0.13,12500.0
2023-10-02,8,3,1,3,0.01,3800.0
2023-05-17,9,1,2,2,0.14,980.0
2023-11-25,5,5,3,6,0.07,980.0
2023-06-24,1,7,1,2,0.1,4200.0
2023-02-27,3,6,2,3,0.1,850.0
2023-05-31,10,1,3,6,0.13,12500.0
2023-08-11,8,5,1,5,0.1,350.0
2023-03-22,6,5,1,8,0.09,650.0
2023-08-21,8,6,2,9,0.01,12500.0
2023-01-02,9,3,5,3,0.08,650.0
2023-05-15,4,5,1,3,0.02,1800.0
2023-09-14,1,7,1,3,0.11,650.0
2023-04-02,1,5,3,6,0.08,2200.0
2023-09-17,10,5,4,1,0.1,980.0
2023-02-24,4,5,2,7,0.01,850.0
2023-11-17,7,10,2,1,0.01,5500.0
2023-06-02,2,10,5,5,0.11,4200.0
2023-11-24,3,3,5,8,0.01,2200.0
2023-09-17,1,1,2,4,0.01,650.0
2023-11-08,5,5,5,5,0.0,3800.0
2023-04-12,1,9,3,4,0.14,850.0
2023-03-20,8,1,2,4,0.11,2200.0
2023-07-11,1,3,5,8,0.05,4200.0
2023-03-24,1,4,2,2,0.04,980.0
2023-10-04,2,1,4,1,0.05,850.0
2023-09-29,2,1,1,3,0.12,4200.0
2023-01-01,6,8,2,9,0.1,1800.0
